lte_site_id,sector_id,frequency_ghz,technology,antenna_gain,antenna_height,tower_height,azimuth,mech_tilt,elec_tilt,address
SITE_001,S1,1.8,LTE,17,30,35,0,2,6,"123 Main St, Big City, Capital District"
SITE_001,S2,1.8,LTE,17,30,35,120,2,6,"123 Main St, Big City, Capital District"
SITE_001,S3,2.3,LTE,18,30,35,240,2,6,"123 Main St, Big City, Capital District"
SITE_002,S1,0.9,LTE,17,45,50,60,3,8,"456 Side Ave, Small Town, Rural District"
SITE_002,S2,2.6,LTE,18,45,50,180,3,8,"456 Side Ave, Small Town, Rural District"
SITE_003,A,1.8,LTE,17.5,25,30,30,4,5,"789 County Road, Farm Town, Rural District"
SITE_003,B,1.8,LTE,17.5,25,30,150,4,5,"789 County Road, Farm Town, Rural District"
SITE_003,C,1.8,LTE,17.5,28,30,270,4,5,"789 County Road, Farm Town, Rural District"
SITE_040,X,2.3,LTE,18,33,35,10,2,7,"10 Industrial Way, Factoryville, Metro District"
SITE_040,Y,2.3,LTE,18,33,35,130,2,7,"10 Industrial Way, Factoryville, Metro District"
SITE_040,Z,2.3,LTE,18,33,35,250,2,7,"10 Industrial Way, Factoryville, Metro District"
SITE_101,G1,0.88,LTE,16,50,55,90,5,9,"Highland Ave, Mountain Top, Summit County"
SITE_101,G2,2.1,LTE,17,50,55,210,5,9,"Highland Ave, Mountain Top, Summit County"
